country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,,,,2828.0728,2869.7212,2919.5935,2968.1025,3024.6765,3075.0347,3117.8367,3180.8865,3252.1758,3271.4185,3375.4023,3443.783,3389.6694,3433.8157,3397.2998,3353.9705,3437.6726,3410.0007,3261.6272,3469.7446,3340.4272,2982.1052,2716.7029,3178.1472,3650.1882,3979.4717,4407.5679,4113.3076,4522.6016,4794.8579,4818.5684,5008.4019,5107.8398,5311.2808,5472.7114,5920.5547,6443.9307,6951.4922,7811.686,8451.7979,9544.7402,10014.001,10402.636,9945.8574,10452.353,11228.951,11217.45,11941.197
Algeria,,,,,,,,,,,9434.9805,8153.2876,4560.3296,5098.9067,5185.519,5480.4106,4694.4355,5159.3838,5618.4873,6007.5474,6697.2822,6197.5273,6846.1558,7195.126,8678.4141,9031.5264,8864.6113,9740.5605,10575.263,10787.376,10503.76,11225.376,11345.661,11589.453,11708.018,11823.618,10090.532,9060.9336,7980.478,8055.1626,8278.1963,7880.6782,7626.9536,7126.4844,7023.8887,7217.167,7472.6406,7121.5879,7289.6309,7458.228,8211.6533,8151.6367,8314.1504,8976.7236,9332.8379,10519.467,11446.06,11688.284,12315.764,11063.543,12590.226,13181.396,13462.519,13293.017,12953.315,12077.444,12193.961,12323.576
Angola,,,,,,,,,,,,,,,,,,,,,3696.2288,3860.3916,3722.593,3886.7278,3806.7681,3471.7488,3282.665,3333.0537,2943.3994,2891.8398,2837.1614,2723.4834,2644.7161,2557.9722,2706.4846,2707.1287,2339.0759,2559.4114,2349.7085,2433.4268,2576.7549,2319.7407,2644.6868,2204.7869,2274.4001,1972.1157,2445.8354,2437.0078,2494.2329,2361.2769,1965.6158,2044.653,2224.7168,2360.3247,2751.1462,3617.0034,4645.3936,5096.5957,6080.5405,4486.1084,5988.5347,7291.0825,7773.1074,7691.1724,7182.186,5530.3374,5246.3335,4993.8457
Anguilla,,,,,,,,,,,,,,,,,,,,,8438.7783,8169.8535,9050.252,9349.7568,9259.2031,9528.042,9632.249,9634.0342,10308.625,11241.883,11706.448,12366.339,12536.221,12400.136,12759.924,13780.868,16593.6,17126.762,17059.834,19003.51,23365.234,17157.027,21870.475,21713.08,21774.828,21109.719,19743.943,19095.355,21724.92,23062.99,21233.883,20441.898,17415.998,20062.176,22387.344,26505.104,27364.469,32090.547,31871.705,22052.639,21098.057,21134.039,19621.252,17520.969,18170.367,16613,15396.068,13876.875
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,5095.5449,5394.3828,5697.0347,6050.0269,5801.875,5347.6001,4765.2905,5262.2109,5292.1045,6645.1875,5707.0347,6156.6289,6435.0635,7819.083,7340.8179,6211.7266,8207.667,8958.9453,9519.4248,10214.312,10824.689,10598.511,10412.9,10401.79,11124.596,9935.251,10488.202,10496.654,7026.7808,10047.608,12227.258,9717.7744,9910.8828,11014.568,8809.6309,12962.758,14435.568,17935.182,18150.324,17196.998,17162.16,17813.498,18218.461,17703.67,5062.2222,9445.6406,8340.2539,7879.6758
Argentina,2600.2993,2608.6318,2332.4087,2439.375,2503.2183,2636.332,2657.2512,2748.3992,2907.3999,2693.7075,2851.4932,2897.1411,2903.8455,2758.0132,2853.7334,3157.0315,3179.866,3241.2068,3289.5591,3562.4231,3611.5322,3660.4167,3661.5789,3801.1082,3912.7463,3800.7595,3749.0464,3948.0234,3831.0532,4016.116,3978.3108,3948.0635,4077.5071,4349.3804,4562.4604,4387.3833,4807.127,5042.3491,5290.8257,5018.7002,5553.8428,6446.5576,7489.8384,8488.1758,9765.499,10810.947,13809.471,14092.541,13905.521,12945.701,12719.655,11823.235,10015.692,10747.38,11629.042,12511.982,13452.63,14658.496,15489.022,14300.919,15841.659,17035.814,16968.105,16920.756,16233.318,16414.078,16085.712,16466.732
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6229.2803,5693.9707,3320.915,3273.2913,2612.8503,2774.3123,3103.3311,3263.9304,3002.168,3323.8467,3424.0393,3643.4287,3964.7632,4537.2012,4860.4009,5432.8965,6247.4233,7164.6338,7895.9189,7396.0078,8222.9453,9136.5557,9443.4941,9481.5098,9688.627,9322.0488,9381.0264,10182.28
Aruba,,,,,,,,,,,,,,,,,,,,,7237.5869,7845.2222,8500.9795,9211.4521,10001.058,10886.835,11890.226,13018.14,14263.402,15591.521,16975.479,18374.379,19790.775,21291.123,22992.016,25008.146,27439.367,32278.012,38782.742,41191.691,45426.961,40457.801,48279.887,50170.875,53800.922,50179.457,49954.805,51544.789,51776.23,48856.754,42841.992,46425.793,34227.641,34338.66,37752.859,39575.68,41337.129,41828.871,43957.234,41204.484,37059.344,34943.938,34964.426,40872.09,36878.191,35282.684,29586.152,29871.135
Australia,12282.998,11561.024,11111.49,12323.385,12957.638,13298.647,13162.046,12961.374,13733.637,14318.362,14223.364,14303.397,14820.865,15573.809,16042.415,15928.881,16717.168,17157.479,18118.461,19066.996,19375.006,19742.918,20031.945,20641.898,19570.727,19710.787,20364.744,20506.762,21251.311,21696.08,22172.068,22893.998,22017.188,23008.324,23564.248,23813.381,24030.885,25530.766,26605.639,27222.988,26850.439,26420.824,27154.258,27813.484,28736.486,29886.154,31260.986,32515.428,33244.352,34543.73,35218.34,35957.848,36426.098,37605.285,38486.184,40717.324,40892.359,41270.238,42713.223,41760.043,44854.902,46505.781,46175.125,46714.156,46920.895,44831.477,46755.23,47392.621
Austria,5246.9312,5512.0391,5664.1211,5943.1113,6368.3569,6989.8501,7489.9609,7869.4209,8162.041,8406.6279,8984.2012,9427.8545,9630.5879,9960.4346,10375.796,10633.069,11097.729,11351.078,11782.448,12333.82,13075.815,13713.572,14475.504,15150.081,15635.721,15693.401,16094.695,16787.998,16734.252,17460.129,17684.906,17645.518,17727.367,18097.127,18003.729,18392.459,19235.775,20000.637,21252.193,22326.398,23529.439,24452.951,25277.766,25631.961,26713.586,27733.299,28277.605,29661.541,30805.494,31911.775,33636,32745.068,33275.531,33923.613,35065.059,38239.336,38846.805,39991.918,41368.645,39393.852,40489.809,41933.938,43265.531,42553.879,44065.441,44626.293,44791.379,46103.27
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9083.582,12903.806,9048.0029,5090.271,3947.6855,2426.9753,2309.3599,2144.7126,2139.7676,2255.231,2521.8101,2817.5681,2925.8281,3131.0898,3299.2078,4906.3838,6974.9482,9574.4658,10686.558,10871.692,12947.103,16325.537,16710.912,16429.795,16393.193,14372.97,14293.731,14504.942
